aX,aY,aZ,gX,gY,gZ
0.133,-0.164,0.876,-21.484,10.620,14.954
0.130,-0.175,0.915,-19.775,13.123,17.944
0.121,-0.186,0.953,-18.311,14.282,20.325
0.113,-0.194,0.986,-18.066,14.160,21.851
0.093,-0.202,1.017,-19.958,12.695,22.217
0.062,-0.211,1.047,-23.560,9.888,21.912
0.035,-0.207,1.075,-30.457,6.531,21.484
0.007,-0.197,1.088,-37.292,3.479,20.752
-0.015,-0.200,1.073,-40.588,1.892,20.386
-0.037,-0.190,1.053,-43.823,2.136,20.020
-0.041,-0.192,1.039,-46.204,4.211,20.813
-0.033,-0.203,1.040,-45.715,8.057,23.254
-0.023,-0.215,1.029,-43.701,12.573,26.001
-0.032,-0.232,1.016,-40.710,15.991,28.931
-0.047,-0.252,1.030,-37.903,19.836,32.043
-0.067,-0.272,1.039,-35.706,23.437,35.034
-0.098,-0.267,1.035,-34.119,25.635,37.903
-0.129,-0.269,1.024,-31.982,27.893,40.894
-0.155,-0.271,1.024,-30.701,30.151,44.495
-0.161,-0.271,1.026,-30.823,31.860,48.279
-0.176,-0.269,1.023,-30.823,32.104,50.903
-0.219,-0.269,1.019,-30.273,30.884,52.734
-0.250,-0.274,1.020,-28.259,29.724,54.688
-0.270,-0.279,1.035,-26.062,28.625,56.702
-0.311,-0.274,1.038,-23.437,26.978,58.533
-0.333,-0.281,1.059,-18.921,25.391,59.814
-0.357,-0.278,1.073,-14.709,23.315,60.730
-0.379,-0.271,1.082,-11.047,20.813,61.340
-0.388,-0.266,1.098,-7.935,18.188,62.073
-0.402,-0.248,1.079,-7.202,15.320,63.110
"",,,,,
1.001,-0.605,0.928,-176.208,51.575,-1.160
0.847,-0.573,0.854,-194.580,50.537,-14.893
0.736,-0.474,0.681,-195.251,51.208,-26.672
0.662,-0.300,0.540,-184.631,56.458,-34.363
0.610,-0.213,0.525,-145.142,65.796,-37.720
0.557,-0.302,0.614,-72.327,75.378,-38.147
0.536,-0.453,0.755,-7.629,79.163,-35.217
0.539,-0.489,0.841,25.208,74.463,-32.715
0.583,-0.434,0.779,48.462,63.965,-33.264
0.617,-0.400,0.687,79.041,53.223,-32.288
0.484,-0.529,0.587,106.934,47.119,-27.466
0.353,-0.574,0.584,109.314,47.485,-17.761
0.317,-0.598,0.535,86.792,52.063,-4.883
0.291,-0.573,0.573,46.692,56.824,4.944
0.295,-0.505,0.658,1.709,57.007,8.789
0.456,-0.403,0.771,-24.170,50.903,6.958
0.653,-0.268,0.903,-14.771,43.701,2.869
0.745,-0.157,0.989,27.832,37.048,-0.549
0.788,-0.141,1.030,74.890,30.457,-0.671
0.880,-0.346,0.749,104.675,24.353,1.953
1.000,-0.596,0.620,85.083,22.095,4.395
1.037,-0.775,0.556,61.829,22.034,1.221
1.035,-0.835,0.625,72.449,21.362,-8.118
1.029,-0.922,0.653,84.412,19.287,-18.921
0.944,-0.866,0.661,80.261,16.541,-29.114
0.803,-0.709,0.653,58.899,13.428,-36.255
0.649,-0.602,0.641,42.969,10.010,-39.551
0.525,-0.569,0.640,37.292,6.165,-40.588
0.428,-0.575,0.626,32.043,1.709,-40.710
0.308,-0.583,0.564,26.489,-3.845,-40.161
0.211,-0.548,0.501,17.761,-9.216,-39.063
0.128,-0.458,0.431,1.404,-14.526,-35.522
0.145,-0.385,0.350,-19.470,-19.653,-28.381
0.215,-0.331,0.302,-47.180,-22.156,-17.273
0.328,-0.296,0.308,-80.688,-20.813,-4.822
0.530,-0.300,0.362,-97.046,-17.578,4.150
0.620,-0.259,0.416,-94.604,-13.611,8.179
0.735,-0.240,0.533,-100.647,-10.864,10.132
0.765,-0.231,0.587,-108.521,-10.437,11.902
0.777,-0.229,0.672,-121.216,-11.780,12.939
0.774,-0.200,0.764,-129.272,-15.808,13.916
0.691,-0.088,0.752,-125.854,-22.339,16.541
0.590,0.011,0.762,-102.478,-28.748,22.095
0.491,-0.004,0.745,-68.604,-34.729,31.311
0.400,-0.097,0.679,-34.058,-38.391,42.847
0.349,-0.193,0.613,-15.259,-37.354,55.115
0.320,-0.266,0.571,-18.372,-31.372,67.383
0.336,-0.290,0.581,-31.433,-23.987,75.867
0.375,-0.298,0.632,-44.189,-20.325,79.712
0.379,-0.355,0.726,-52.063,-22.400,79.834
0.398,-0.389,0.785,-62.500,-29.968,76.233
