aX,aY,aZ,gX,gY,gZ
1.049,-0.264,-0.100,-21.790,1.160,-9.338
1.041,-0.261,-0.087,-22.278,-1.099,-5.432
1.025,-0.271,-0.086,-21.606,-4.333,-1.465
1.014,-0.297,-0.094,-20.264,-8.484,2.625
1.007,-0.338,-0.111,-18.616,-12.573,6.104
0.998,-0.379,-0.130,-17.700,-16.479,8.850
0.985,-0.410,-0.145,-17.944,-19.653,10.498
0.975,-0.440,-0.161,-18.372,-21.912,11.414
0.967,-0.470,-0.171,-19.043,-23.010,11.719
0.957,-0.490,-0.183,-19.775,-24.353,10.742
0.948,-0.499,-0.197,-20.020,-25.208,9.155
0.951,-0.500,-0.210,-19.897,-25.269,7.019
0.951,-0.504,-0.218,-18.738,-24.719,4.639
0.945,-0.501,-0.228,-17.639,-23.560,1.953
0.933,-0.481,-0.241,-19.226,-22.278,-0.671
0.927,-0.448,-0.255,-21.362,-20.752,-3.296
0.929,-0.422,-0.259,-21.423,-17.944,-4.639
0.926,-0.403,-0.255,-20.508,-13.977,-5.493
0.932,-0.399,-0.238,-19.836,-9.644,-5.859
0.942,-0.406,-0.210,-19.775,-5.615,-6.165
0.955,-0.423,-0.174,-19.409,-1.953,-6.592
0.965,-0.448,-0.135,-19.409,1.038,-7.690
0.970,-0.474,-0.093,-19.836,3.235,-9.521
0.979,-0.501,-0.049,-20.081,4.822,-12.207
0.987,-0.515,-0.006,-20.813,5.127,-15.259
0.991,-0.520,0.029,-21.973,3.784,-18.677
0.998,-0.529,0.061,-23.254,1.465,-21.912
1.004,-0.543,0.091,-24.719,-1.953,-24.475
1.012,-0.559,0.116,-27.222,-6.348,-26.733
1.024,-0.554,0.132,-30.212,-11.597,-28.870
1.026,-0.534,0.132,-32.532,-18.616,-30.579
1.023,-0.528,0.124,-32.959,-25.879,-31.494
1.024,-0.533,0.113,-32.471,-32.837,-32.288
1.027,-0.546,0.103,-32.043,-39.063,-32.715
1.027,-0.563,0.099,-32.043,-44.556,-32.715
1.024,-0.582,0.095,-32.104,-49.622,-33.447
1.020,-0.606,0.092,-30.579,-53.955,-34.729
1.025,-0.626,0.095,-28.687,-57.678,-36.743
1.021,-0.630,0.105,-26.917,-60.852,-40.161
1.025,-0.609,0.116,-24.841,-63.843,-44.312
1.029,-0.582,0.116,-22.644,-67.444,-48.279
1.033,-0.547,0.114,-20.996,-71.289,-51.392
1.035,-0.510,0.109,-18.433,-74.646,-53.223
1.036,-0.490,0.101,-14.587,-77.271,-53.894
1.033,-0.494,0.101,-11.169,-79.773,-53.223
1.034,-0.513,0.103,-8.667,-82.275,-51.636
